path,prior_state,final_state,kind,reason_and_tests
odoo:ir.model.fields x_project_id (id 27827),absent,"many2one project.project, manual, store",odoo_schema,D007 packet seq1; P05 pre-check absent; seq4 readback; rollback possible
odoo:ir.model.fields x_service_catalogue_id (id 27829),absent,many2one x_service_catalogue,odoo_schema,D007 packet seq2; same checks
odoo:ir.model.fields x_method_id (id 27831),absent,many2one x_ss_method_registry,odoo_schema,D007 packet seq3; same checks
odoo:x_ss_work_object_register id 2,absent (count 0),"WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001, active, PPV Potential, links 101/1/1, ctx 1, company 1",odoo_record,D007 packet seq5; independent readback seq6; acceptance 12/12; pilot id 1 unchanged
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/SYNAPSYS_NAVIGATOR_MVP_ARCHITECTURE_v1.5.html,49233 bytes sha256 ac16fc5543645541154f7480a826648800cbc5aa465bcdbd72513d1f76431f8a,49300 bytes sha256 74303739001ad3f581e21b1b2e3d1b25f843db760169437185427aa47fd76256,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/DATA/NAVIGATOR_DELIVERY_STATE.js,14955 bytes sha256 5ad8346571e0a3de41a08ffc8341474713835020a2d487357bf3921c239a38b3,15010 bytes sha256 0d9bafcb7d5d81c3f6005a906913ffd2bba276165541bc2b6e53f47df894c795,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/DATA/NAVIGATOR_DELIVERY_STATE.json,15952 bytes sha256 2f8d3810cd42853ca0c2c2cdb573bb600d1d7610836e570f789924bbff382ddb,16007 bytes sha256 9acf067d48632a33bdd4ef8dc49f695cfd87be97a9c3634296942c4bd3ec84cd,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/DATA/NAVIGATOR_PRIORITY_MODEL.json,2697 bytes sha256 9a84f16cb94079e2e364eb9a8dfce78102d8cef91caf8a759f4f146392c08c5a,2748 bytes sha256 c02b5c3e5d3a2fe4f0957d0b5e11e32ca4d7a1f2e5aec30e8981583c62bcac3d,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/DATA/NAVIGATOR_BENEFIT_REALISATION.json,2389 bytes sha256 0c58352b8888cb204b8ff5de8489321d5618b54cda1b355f36fd76964d2da155,2576 bytes sha256 bb1a751a8a7aeb175ac75aa5d85bff04a151ba8596768e24193f1bb28236bac0,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/DATA/NAVIGATOR_PARALLEL_STREAMS.json,8780 bytes sha256 311c4951c36d2e8535aebccb5c848bc2dc0871a99932a3c636fe658290ef3ce6,8468 bytes sha256 c989fb5a698bce7bd91256315716b9e17d369ae23ce098596297df69593ce2dc,vault_current,Post-P1 projection refresh (priorities/state/streams reflect executed correction); tests: 35 static + 134 browser re-run PASS; readback: sp_write returned-hash verification
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/D007_ODOO_WORK_OBJECT_RELATIONSHIP_EXECUTION_RECEIPT_v0.1.md,new,4024 bytes sha256 65ab870705b059f52e7d09e9729f3aa2a34871fa0f11cc93f61be149b034cc76,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_BENEFIT_ASSET_DISCIPLINE_RECEIPT_v0.1.md,new,2234 bytes sha256 296784d63f98092114f57aa54145ec046500acb0d8290614b32fd7f31b19089d,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_CANVAS_AND_LINK_TEST_RECEIPT_v0.1.md,new,2214 bytes sha256 04d27b0656500b02dbc6ee20457ecc9c838fc365c3679da4e4ace5415d3ba9f0,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_COLD_START_REPLAY_RECEIPT_v0.1.md,new,2434 bytes sha256 9a6de2dfef0ee6bc224fbc2d38098bb59339b79432887041306ae816137d9d27,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_FINAL_D009_ASSURANCE_RETURN_v0.1.md,new,3497 bytes sha256 4c75fd3f3300e2354d4a07fb83718796f0d5185417080b20f2e3a85d663fc9f2,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_FIVE_PRIORITY_COMPLETE_TEST_MATRIX_v0.1.csv,new,2032 bytes sha256 1c38a2eebb67f9bd050fa0a2d135d22eab164d51067518392b623ca389bf37b1,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_L1_L2_L3_ROUTE_REGISTRY_v0.1.json,new,81211 bytes sha256 a5927546a7c525a27d6cdf356e71e466d6fe1e63f4e5ea3314552bd17fca1aa1,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_MESH_INTEGRATION_RECEIPT_v0.1.md,new,2597 bytes sha256 f101f6b8d02c37304a9492bec354d4ac90674e3df2ddaf0dc2a6dff76801b9b1,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_PROCESS_OFFERING_READINESS_RECEIPT_v0.1.md,new,1874 bytes sha256 7200e6351ffd83bc23357181ab8c81992d0d5defaca0c9c51bf266d28d02a099,wm_output,Five-priority cycle output; readback via sp_write returned hash
05_AI_RETURNS_HASHED/WO-NAVIGATOR-MVP-INTEGRATION-AND-VISUAL-COMPLETION-001/FIVE_PRIORITY_COMPLETE_DEPLOYMENT/NAVIGATOR_ROOT_CAUSE_AND_FIX_LOG_v0.1.csv,new,6312 bytes sha256 f1a3e811672aefa23c553e42d157bc670c906b0d97b8c01f04254a55f44ef16a,wm_output,Five-priority cycle output; readback via sp_write returned hash
